English	Dutch	German	Yiddish	Norwegian	Icelandic	Swedish	Danish	French	Italian	Spanish	Romanian	Catalan	Neopolitan	Sicilian	Korean	Border
laɪ	ˈlɪɣə	ˈliːɡən		ˈlêɡe	ˈlɪcːa		ˈlɛɡ̊ə	setɑ̃dʁ		eˈt͡ʃaɾse	zəˈtʃe̯a	ˈʒɛw.ɾə		kuɾˈkaɾisi	nup̚t͈a̠	x
sɪt	ˈzɪtə	ˈzɪtsn̩	ˈzɪt͡sn̩		ˈsɪːtja	²sɪta	ˈsɛd̥ə	saswaʁ		senˈtaɾse	a.ʃeˈza	ˈsɛw.ɾə			a̠nt͈a̠	x
stænd	staːn	ˈʃteː.ən	ʃtɛɪ̯n		ˈstanta	stoː	ˈsd̥ɔˀ	sələve		lebanˈtaɾse	skuˈla	əsˈta			sʰʌ̹da̠	x
tɜːn	ˈdraːjə	ˈdʁeː					drajə	tuʁne	d͡ʒiˈra.re	xiˈɾaɾ	ɨn.ˈto̯ar.t͡ʃe	ʒiˈɾa			to̞ɭda̠	x
fɔːl	ˈvɑlə	ˈfaln̩	ˈfaɫn̩		ˈtɛhta	²falːa	ˈfalə	tɔ̃be	kaˈde.re	kaˈeɾ	kəˈde̯a	ˈkaw.ɾə			t͈ʌ̹ɾʌ̹d͡ʑida̠	x
gɪv	ˈɣeːvə	ɡeːb	ˈɡɛ.bn̩	jiː	ˈcɛːva	jeː	ˈɡ̊iˀ	dɔne	ˈda.re		da	doˈna			t͡ɕuda̠	x
həʊld	ˈhɔudə	ˈhaltn̩	ˈhaɫtn̩		ˈhalta	ˈhɔ̂lːä	ˈhʌlə	təniʁ	teˈne.re	teˈneɾ		təˈni			t͡ɕa̠p̚t͈a̠	x
skwiːz	ˈknɛipə	ˈkvɛtʃən	kvɛtʃn̩		ˈkʰreista		ˈpʰʁ̥asə	seʁe	ˈsprɛ.me.re	apɾeˈtaɾ		ˈpɾe.mə			t͡ɕ͈a̠da̠	x
rʌb	ˈʋrɛivə	ˈʁaɪ̯bnˌ			ˈnʏtːa		ɡniːðɘ	fʁɔte	stro.fiˈna.re	fɾoˈtaɾ	freˈka	fɾəˈɡa		ʃɹɪˈkaɾɪ	mund͡ʑiɾɯda̠	x
wɒʃ	ˈʋɑsə	ˈvaʃən	ˈvaʃn̩		θvɔː	ˈtvɛtːˌa		lave	laˈva.re	laˈbaɾ	spəˈla	rənˈta		laˈva.ɾɪ	ɕ͈it̚t͈a̠	x
waɪp	ˈveɣə	ˈvɪʃn̩			ˈθʏr̥ka		ˈʋesɡ̊ə	esɥije	aʃ.ʃuˈɡa.re	limˈpjaɾ		ə.ʃuˈɡa			ta̠k̚t͈a̠	x
pʊl	ˈtrɛkə	ˈt͡siːən			ˈtʰɔːɣa	drɑː	trɛkə	tiʁe	tiˈra.re		ˈtra.d͡ʒe	əs.tiˈɾa			k͈ɯ̽ldɑ	x
pʊʃ	ˈdywə	ˈdʁʏkn̩	ˈʃtʊ.pm̩		ˈiːta		skɔbɘ	puse	ˈspin.d͡ʒe.re	empuˈxaɾ	ɨmˈpin.d͡ʒe	əmˈpə.ɲə			mildɑ	x
θrəʊ	ˈʋɛrpə	ˈvɛrfən			ˈkʰasta		ˈkʰasd̥ə	ʒəte	lanˈt͡ʃa.re	tiˈɾaɾ		ʎənˈsa		jɪt̪.ˈtaː.ɾɪ	tʌ̹nd͡ʑida̠	x
taɪ	ˈvɑstmaːkə	ˈbɪndən			ˈpɪnta		ˈb̥enə	lje	leˈɡa.re	aˈtaɾ		ʎiˈɡa			mεdɑ	x
səʊ	ˈnaːjə	ˈnɛːən	ˈnɛɪ̯ən		ˈsøyːma		syː	kudʁ	kuˈt͡ʃi.re	koˈseɾ	ˈko̯a.se	kuˈzi	ˈkoːsərə		kip̚t͈a̠	x
kaʊnt	ˈtɛlə	ˈʁɛçnən			ˈtʰɛlja			kɔ̃te	konˈta.re	konˈtaɾ	nu.mə.ˈra	komˈta			s⁽ʰ⁾edɑ	x
seɪ	ˈzɛɣə	zaːɡən	ˈzɔ.ɡŋ̩	siː	ˈseiːja	ˈsɛjːa	ˈsiːə	diʁ	ˈdi.re	deˈθiɾ	ˈzi.t͡ʃe	ˈdi	ˈriːt͡ʃərə		ma̠ɾɦa̠da̠	x
sɪŋ	ˈzɪŋə	ˈzɪŋən	ˈzɪn.ɡn̩		ˈsiɲca	²ɧɵŋa	ˈsønɡə	ʃɑ̃te	kanˈta.re	kanˈtaɾ	kɨnˈta	kənˈta			puɾɯda̠	x
pleɪ	ˈspeːlə	ˈʃpiːlən	ˈʃpɪɫn̩		ˈleiːka	ˈleːˌka	spelə	ʒwe	d͡ʒoˈka.re	xuˈɡaɾ	ʒu.ˈka	ʒuˈɡa		juˈkaːɾɪ	no̞ɭda̠	x
fləʊt	ˈdrɛivə	ˈʃveːbən			ˈfljouːta	²flyːta	flyːðə	flɔte	ɡal.ledˈd͡ʒa.re	floˈtaɾ	pluˈti	floˈta			t͈ɯda̠	x
fləʊ	ˈvlujə	ˈfliːsn̩			ˈstreiːma	²flyːta	flyːðə	kule	fluˈi.re	fluˈiɾ		fluˈi			xɯɾɯda̠	x
friːz	ˈvrizə	ˈfriːrən			ˈfrjouːsa		fryːsə	ʒəle	d͡ʒeˈla.re			ʒəˈla			ʌldɑ	x
swɛl	ˈzʋɛlə	ˈʃvɛlən			ˈθruhtna			ɡɔ̃fle	ɡonˈfja.re	inˈt͡ʃaɾse	umˈfla	imˈfla			put̚t͈a̠	x
sʌn	zɔn	ˈzɔnə	zʊn	suːl	souːl	suːl	soːl	sɔlɛj	ˈso.le	ˈsol	ˈso̯a.re	ˈsɔl	ˈsolə	ˈsulɪ	hε	x
muːn	maːn	moːnt	ləˈvɔnə	ˈmoːnə	tʰʏŋl̥	ˈmoːˌnɛ	mɔːnə	lyn	ˈlu.na	ˈluna	ˈlu.nə	ˈʎu.nə	ˈluna	ˈluna	tɑl	x
stɑː	stɛr	ʃtɛʁn	ˈʃtɛʁən	ˈstjɛrnɛ	ˈstjartna	ˈɧɛːrˌna	stjɛrnə	etwal	ˈstel.la	esˈtɾeʝa	ste̯a	əsˈtɛl			pjʌ̹ɭ	x
ˈwɔːtə	ˈʋaːtər	ˈva.sər	ˈvasəʁ	ʋɑnː	vaʰtn̥	ˈvatːɛn	ˈvanˀ	o	ˈak.kwa	ˈaɡwa	ˈa.pə	ˈaj.ɡwə		ˈakkwa	muɭ	x
reɪn	ˈreːɣən	ˈreːɡən	rɛɡn̩	reɡn	ˈrɪkniŋk	rɛŋn	ˈʁɑɪ̯ˀn	plɥi	ˈpjɔd.d͡ʒa	ˈʝubja	ˈplo̯a.je	ˈplu.ʒə			pi	x
ˈrɪvə	riˈviːr	flʊs	taɪ̯χ	ɛlʋ	auː	fluːd	ˈfloːð	ʁivjɛʁ	ˈfju.me	ˈrio	ˈrɨw	ˈriw	ˈʃummə		kaŋ	x
leɪk	meːr	zeː			vaʰtn̥	ɧøː	søːˀ	lak	ˈla.ɡo	ˈlaɡo		ˈʎak			ɸʷo̞sʰu	x
siː	zeː	meːɐ̯			sjouːr	hɑːv	haw	mɛʁ	ˈma.re	ˈmaɾ	ˈma.re	ˈmar	ˈmarə	ˈma.ɾɪ	pa̠da̠	x
sɔːlt	zɔut	zalt͡s	zaɫt͡s		sal̥t	salt	salˀd	sɛl	ˈsa.le	ˈsal	ˈsa.re	ˈsal			sʰo̞ɡɯm	x
stəʊn	steːn	ʃtaɪn	ʃtɛɪ̯n	stæɪn	steitn	steːn	steːn	pjɛʁ	ˈsas.so	ˈpjedɾa	ˈpja.trə	ˈpe.dɾə	ˈprɛːtə		to̞ɭ	x
sænd	zɑnt	zant	zamd	sɑn	ˈsantʏr		san	sabl	ˈsab.bja	aˈɾena	niˈsip				mo̞ɾe̞	x
dʌst	stɔf	ʃtaʊ̯p			rɪːk	dam	støːˀv	pusjɛʁ	ˈpol.ve.re	ˈpolbo	praf	ˈpols			mʌ̹nd͡ʑi	x
ɜːθ	ˈaːrdə	ˈeːrdə	ɛʁd	juːr	jœrð	juːrd	ˈjoɐ̯ˀ	tɛʁ	ˈtɛr.ra	ˈtjera	pəˈmɨnt	ˈtɛ.rə	ˈmunnə		xɯk̚	x
klaʊd	ʋɔlk	ˈvɔlkə	ˈvɔlkn̩		sciː	moːln	ˈskyˀ	nɥaʒ	ˈnu.vo.la	ˈnube	nor	ˈnu.vol			kuɾɯm	x
fɒg	mɪst	ˈneːbəl			ˈθɔːka		ˈtɔːwə	bʁujaʁ	ˈneb.bja	ˈnjebla	ˈt͡ʃe̯a.t͡sə	ˈbɔj.ɾə			a̠nɡe̞	x
skaɪ	lʏxt	ˈhɪml̩	ˈhɪmɫ̩		ˈhɪːmɪnː		heməl	sjɛl	ˈt͡ʃɛ.lo	ˈθjelo	t͡ʃer	ˈsɛl	t͡ʃjeːlə	ˈʃɛ.lu	ha̠nɯɭ	x
wɪnd	ʋɪnt	vɪnt	vɪnt	ʋin	ˈvɪntʏr	vɪnd	ʋend	vɑ̃	ˈvɛn.to	ˈbjento		ˈvent	ˈvjendə	ˈvɛntu	pa̠ɾa̠m	x
snəʊ	sneːw	ʃneː	ʃnɛɪ̯		stnjouːr	snøː	sneːˀ	nɛʒ	ˈne.ve	ˈnjebe	zəˈpadə	ˈnew			nun	x
aɪs	ɛis	aɪ̯s	aɪ̯z		iːs	iːs	ˈiːˀs	ɡlas	ˈɡjat.t͡ʃo	ˈʝelo		ˈʒɛl			ʌ̹ɾɯm	x
sməʊk	roːk	ʁaʊ̯x		rœʏ̯k	ˈreiːkʏr	røːk	røj	fyme	ˈfu.mo	ˈumo		ˈfum			jʌ̹nɡi	x
ˈfaɪər	vʏːr	ˈfɔʏ̯ər	ˈfaɪ̯ər		ˈɛltʏr	ˈɛld	ilˀ	fø	ˈfwɔ.ko	ˈfweɡo	fok	ˈfɔk	ˈfu͡oko	ˈfɔ.ku	puɭ	x
æʃ	ɑs	ˈaʃə			ˈaska			sɑ̃dʁ	ˈt͡ʃe.ne.re	θeˈniθas		ˈsɛn.dɾə			t͡ɕe̞	x
bɜːn	ˈbrɑndə	ˈbʁɛnən	ˈbʁɛnən		ˈprɛnːa	²brɪnːa	ˈb̥ʁanə	bʁyle	bruˈt͡ʃa.re	keˈmaɾ	ˈar.de	kɾəˈma			tʰɑdɑ	x
rəʊd	ʋɛx	ˈʃtʁäːsə			ˈkaːta	vɛːɡ	ˈʋɑjˀ	ʁut	ˈstra.da	kaˈmino	ˈdrum	kə.rəˈte.ɾə		ˈʂɽata	kiɭ	x
ˈmaʊntɪn	bɛrx	bɛrk		fjɛl	fjatl	bɛrj	bjɛrɣ	mɔ̃taɲ	monˈtaɲ.ɲa	monˈtaɲa	ˈmun.te	munˈta.ɲə	munˈdaɲɲə		sʰa̠n	x
rɛd	roːt	roːt	rɔɪ̯t	ɾøː	ˈrøyːðʏr	røːd	ˈʁœˀð	ʁuʒ	ˈros.so	ˈroxo	ˈro.ʃu	vəɾˈməʎ	ˈruss(ə)	ˈʐus.sʊ	puk̚t͈a̠	x
griːn	ɣrun	ɡʁyːn	ɡʁɪn	ɡrœn	ˈkraɪ̯tn̩	ˈɡrøːn	ɡrœnˀ	vɛʁ	ˈver.de	ˈbeɾde	ˈver.de	ˈvɛɾt			pʰuɾɯda̠	x
ˈjɛləʊ	ɣeːl	ɡɛlp		ɡʉːɽ	ˈkʏːlʏr	ɡʉːl	ɡuːˀl	ʒon	ˈd͡ʒal.lo	amaˈɾiʝo	ˈɡal.ben	ˈɡɾɔk			nuɾɯda̠	x
waɪt	ʋɪt	vaɪ̯s	vaɪ̯s	ʋiːt	ˈxʷiːtʏr	ˈviːt	ˈviːˀð	blɑ̃	ˈbjan.ko	ˈblanko	alb	ˈblaŋk			çida̠	x
blæk	zʋɑrt	ʃvarts	ʃvart͡s	suʈ	ˈsvar̥tʏr	¹svart	ˈsoɐ̯d̥	nwaʁ	ˈne.ro	ˈneɡɾo	ˈne.ɡru	ˈnə.ɡɾə	ˈniːrə		kʌ̹mt͈a̠	x
naɪt	nɑxt	naxt	naχt	natː	nouʰt	natː	nad̥	nɥi	ˈnɔt.te	ˈnot͡ʃe	ˈno̯ap.te	ˈnit	ˈnɔttə		pa̠m	x
deɪ	dɑx	taːk	tɔɡ	dɑːɡ	ˈtaːɣʏr	dɑː(ɡ)	daːˀɣ	ʒuʁ	ˈd͡ʒor.no	ˈdia	ˈzi	ˈdi.ə	ˈjwornə	ˈjɔɾ.nu	na̠t̚	x
jɪə	jaːr	jaːr	jɔr	oːɾ	auːr	ˈoːr		ɑ̃	ˈan.no	ˈaɲo	an	ˈaɲ	ˈannə	ˈan.nu	he̞	x
wɔːm	ʋɑrm	varm			l̥iːr	varm		ʃo	ˈkal.do	kaˈljente	kald	kəˈlent			tʌ̹p̚t͈a̠	x
kəʊld	kɔut	kalt	kaɫt		ˈkʰaltʏr	kal	kɒl	fʁwa	ˈfred.do	ˈfɾio	ˈret͡ʃe	ˈfɾət		ˈfrid̪.d̪ʊ	t͡ɕʰup̚t͈a̠	x
fʊl	vɔl	f	fʊɫ	fʉl	ˈfʏtɬʏr	fɵl	fulˀ	plɛ̃	ˈpjɛ.no	ˈʝeno	plin	ˈplə		ˈkinu	t͡ɕʰa̠da̠	x
njuː	niːw	nɔʏ̯	naɪ̯		niːr	nyː	nyː	nuvo	ˈnwɔ.vo	ˈnwebo	now	ˈnɔw	ˈnwoːvə	ˈnɔː.vu̞	sʰe̞	x
əʊld	ɔut	alt	aɫt		ˈkaːmatl	²ɡamːal	ɡaməl	vjø	ˈvɛk.kjo	ˈbjexo	vekʲ	ˈveʎ	ˈvjeccə		je̞t̚	x
gʊd	ɣut	ɡuːt	ɡʊt	ɡuː	ˈkouːðʏr	brɑː	ˈɡ̊oˀð	bɔ̃	ˈbwɔ.no	ˈbweno	bun	ˈbɔ	ˈbwoːnə	ˈbɔ.nʊ	t͡ɕo̞tʰa̠	x
bæd	slɛxt	ʃlɛçt	ʃɫɛχt		ˈvɔntʏr	²doː.lɪ(ɡ)	ˈd̥ɒːli	movɛ	katˈti.vo	ˈmalo	rəw	doˈlent		ˈma.lu	na̠p͈ɯda̠	x
ˈrɒtən	rɔt	faʊ̯l			ˈfuːɪnː		ˈʁʌðən	puri	ˈmar.t͡ʃo	poˈdɾido	ˈpu.tred	puˈdɾit			s͈ʌ̹k̚t͈a̠	x
ˈdɜːti	vœyl	ˈʃmʊt͡sɪç	ˈʃmut͡sɪk		ˈsciːtʏːɣʏr		snavset	sal	ˈspɔr.ko	ˈsuθjo	mur.ˈdar	ˈbɾut			tʌ̹ɾʌ̹p̚t͈a̠	x
streɪt	rɛxt	ɡəˈraːdə	ɡɫaɪ̯χ	ɾɛt	peitn		ˈliːə	dʁwa	ˈdrit.to	ˈreɡto	drept	ˈrɛk.tə			ko̞t̚t͈a̠	x
raʊnd	rɔnt	rʊnt			ˈkʰriŋlouhtʏr		ʁɔnˀ	ʁɔ̃	roˈton.do	reˈdondo	roˈtund	roˈdo	ˈtunnə		tuŋɡɯɭda̠	x
ʃɑːp	sxɛrp	ʃarf	ʃaʁf		ˈpeihtʏr	vas		tʁɑ̃ʃɑ̃	af.fiˈla.to	aˈɡudo	as.kuˈt͡sit	əz.moˈlat			na̠ɭkʰa̠ɾo̞p̚t͈a̠	x
dʌl	stɔmp	ʃtʊm				sløː	sløːv	emuse	zmusˈsa.to		toˈt͡ʃit	əz.muˈsat			mudida̠	x
smuːð	ɣlat	ɡlat			ˈstleiːpʏr	slɛːt		lis	ˈliʃ.ʃo	ˈliso	ˈne.ted	ˈʎis	ˈmwollə	ˈliʃːu	pudɯɾʌ̹p̚t͈a̠	x
wɛt	nɑt	nas	nas		ˈpløyːtʏr	voːt	vɔːˀð	muje	baɲˈɲa.to	moˈxado	ud	uˈmit			t͡ɕʌ̹t̚t͈a̠	x
draɪ	droːx	dʏʁ	ˈtʁʊkn̩		θʏrː		tœːˀr	sɛk	ˈsek.ko	ˈseko	usˈkat	ˈsək	ˈsikkə	ˈsik.kʊ	ma̠ɾɯda̠	x
kəˈrɛkt	jœyst	ˈʁɪçtɪç		ɾɛt	ˈrjɛhtʏr		ˈrekti	ʒyst	ˈd͡ʒu.sto	koˈreɡto	drept	koˈrɛk.tə			ma̠t̚t͈a̠	x
nɪə	dɪxtˈbɛi	naː			ˈnauːlaiːɣʏr		nɛːr	pʁɛ	viˈt͡ʃi.no	ˈθeɾka	ˈlɨn.ɡə	ˈpɾɔp			ka̠k͈a̠p̚t͈a̠	x
fɑː	vɛr	fɛʁn	vaɪ̯t				fjɛrn	lwɛ̃	lonˈta.no	ˈlexos	deˈpar.te	ˈʎuɲ	lunˈdaːnə		mʌ̹ɭda̠	x
raɪt	rɛxts	ʁɛçt					hɔjrə	dʁwat	ˈdɛ.stra	deˈɾet͡ʃa	drept	ˈdɾət			o̞ɾɯn	x
lɛft	lɪŋks	lɪŋk	ɫɪŋks					ɡoʃ	siˈni.stra	iθˈkjeɾda	stɨŋɡ	əsˈkɛ.rə			we̞n	x
æt	aːn	ʔan		iː	çauː	poː	(ˈ)ʋeð	a	a	en	la	a	a	a	-e̞sʰʌ̹	x
ɪn	ɪn	ʔɪn	in	iː	iː	iː	-end	dɑ̃	ˈin	en	ɨn	ˈdins	ˈɾind(ə)		-e̞	x
wɪð	mɛt	mɪt		meː	-ɛːð	meː(d)	mɛð	avɛk	kon	kon	ku	əmb		ku	-ɾo̞	x
ænd	ɛn	ʊnt	ʊn	ɔ	ɔːɣ	ɔ	ʌ	e	ˈe	ʝ	ʃi	ˈi	e	e	-wa̠	x
ɪf	ɑls	ɔp	ɔɪ̯b		ɛːv	ɔm	ves	si	se	si	ˈda.kə	ˈsi			-mjʌ̹n	x
bɪˈkɒz	ɔmˈdɑt	vaɪ̯l	vaɪ̯ɫ	fɔɾˈdiː	ˈvɛkna	²ˈɛftærˌsɔm	fɔˈdiːˀ	paʁsəkə	perˈke	ˈpoɾke	de.o̯a.reˈt͡ʃe	pəɾˈkə	pəkˈke		-ni	x
neɪm	naːm	ˈnaːmə	ˈnɔmən		napn	namn		nɔ̃	ˈno.me	ˈnombɾe	ˈnu.me	ˈnɔm			iɾɯ̽m	x
